Bank,Address,Lifetime
0,0,282
0,0,73
0,1,279
0,1,76
0,2,276
0,2,79
0,3,273
0,3,82
0,4,270
0,4,85
0,5,267
0,5,88
0,6,264
0,6,91
0,7,261
0,7,94
0,8,258
0,8,97
0,9,255
0,9,100
0,10,252
0,10,103
0,11,249
0,11,106
0,12,246
0,12,109
0,13,243
0,13,112
0,14,240
0,14,115
0,15,237
0,15,118
0,16,234
0,16,121
0,17,231
0,17,124
0,18,228
0,18,127
0,19,225
0,19,130
0,20,222
0,20,133
0,21,219
0,21,136
0,22,216
0,22,139
0,23,213
0,23,142
0,24,210
0,24,145
0,25,207
0,25,148
0,26,204
0,26,151
0,27,201
0,27,154
0,28,198
0,28,157
0,29,195
0,29,160
0,30,192
0,30,163
0,31,189
0,31,166
1,0,283
1,0,72
1,1,280
1,1,75
1,2,277
1,2,78
1,3,274
1,3,81
1,4,271
1,4,84
1,5,268
1,5,87
1,6,265
1,6,90
1,7,262
1,7,93
1,8,259
1,8,96
1,9,256
1,9,99
1,10,253
1,10,102
1,11,250
1,11,105
1,12,247
1,12,108
1,13,244
1,13,111
1,14,241
1,14,114
1,15,238
1,15,117
1,16,235
1,16,120
1,17,232
1,17,123
1,18,229
1,18,126
1,19,226
1,19,129
1,20,223
1,20,132
1,21,220
1,21,135
1,22,217
1,22,138
1,23,214
1,23,141
1,24,211
1,24,144
1,25,208
1,25,147
1,26,205
1,26,150
1,27,202
1,27,153
1,28,199
1,28,156
1,29,196
1,29,159
1,30,193
1,30,162
1,31,190
1,31,165
2,0,284
2,0,71
2,1,281
2,1,74
2,2,278
2,2,77
2,3,275
2,3,80
2,4,272
2,4,83
2,5,269
2,5,86
2,6,266
2,6,89
2,7,263
2,7,92
2,8,260
2,8,95
2,9,257
2,9,98
2,10,254
2,10,101
2,11,251
2,11,104
2,12,248
2,12,107
2,13,245
2,13,110
2,14,242
2,14,113
2,15,239
2,15,116
2,16,236
2,16,119
2,17,233
2,17,122
2,18,230
2,18,125
2,19,227
2,19,128
2,20,224
2,20,131
2,21,221
2,21,134
2,22,218
2,22,137
2,23,215
2,23,140
2,24,212
2,24,143
2,25,209
2,25,146
2,26,206
2,26,149
2,27,203
2,27,152
2,28,200
2,28,155
2,29,197
2,29,158
2,30,194
2,30,161
2,31,191
2,31,164
3,0,285
3,0,70
3,1,282
3,1,73
3,2,279
3,2,76
3,3,276
3,3,79
3,4,273
3,4,82
3,5,270
3,5,85
3,6,267
3,6,88
3,7,264
3,7,91
3,8,261
3,8,94
3,9,258
3,9,97
3,10,255
3,10,100
3,11,252
3,11,103
3,12,249
